id,title,abstract,supervisor
a2dcfdce-78f9-4a1c-8cd1-aa162082bb1e,asset vision a generalized approach to asset tag extraction,organizations seeking to optimize their maintenance and procurement strategies have realized that the necessary contextual data for their core assets rest in physical piping and instrumentation diagrams pids hiring engineers to manually identify these assets called asset tags is timethis way and prohibitively expensive  deloitte has developed a technology that can use machine learning and computer vision techniques to extract the asset tags present in a document a por tion of the technology involves a xefxacxmerge we have enhanced the model to learn when to merge the appropriate texts from the data without delivery to new clients  by leveraging a new merge candidate proposal algorithm and creating computer vision features achieve superior precision and recall scores on the test dataset compared to the corresponding models in the prototype pipeline the number of asset tags accurately extracted on the test dataset by the new pipeline is similar to that of engineers while only taking a fraction of the time future work will focus on minimizing the number of optical character recognition errorsdeloittebrendan kolisnikjerod,Radu Craiu
1c32f33e-ffbc-4ac5-b8f0-cc751f55caa4,using a temporal convolutional network for demand forecasting in retail,retailers face crucial replenishment decisions such as which products to restock and when stocking too few items will lead to stockouts and revenue loss while stocking too many items will result in decreased working capital higher costs and stale inventory to inform replenishment decisions many retailers predict future product demand using a rolling yearly average of product sales while the yearly average is a reasonable demand indicator for products that sell frequently it fails to capture demand for infrequent purchases and does not account for seasonality or the effects of promotional price changes on demand current ai demand forecasting solutions improve upon industry standards by capturing seasonality and promotional changes however these solutions are not effective for products that sell infrequently these products contribute are also laborious expensive and timeconsuming to implement due to the vast feature engineering required deep learning solutions are capable of circumventing lengthy feature engineering processes hence a temporal convolutional network tcn was built to perform feature extraction the tcn model architecture was designed and adapted to capture both shortterm and longterm seasonal trends in the sales data forecasting one week into the future on products that frequently sell the retail accuracy of the tcn model was  compared to  for the yearly average and  for the current ai solution mlp forecasting one week into the future on items that do not sell frequently the retail accuracy of the tcn model was  compared to  accuracy for the yearly average and  for the mlp although the tcn closely matches the performance of the mlp for frequently selling items the model outperforms both the yearly average and the mlp for infrequently selling products the results exhibit that the tcn which requires far less engineering than the mlp does shows much promise as a demand forecasting solution particularly proving strong for sparse data where features that capture longrange seasonality are extracted effectively open research questions remain such as whether the model is capable of learning the price elasticity of products given past demand and pricing informationdeloittesasha nandajoe roussyarvind gup,"Arvind Gupta, Huaxiong Huang"
8a75a6b3-26fa-4432-8a7c-f2c8a3ec6e99,evaluating and debiasing feature embeddings for condensates,drug discovery is an involved task including close collaboration between biologists data scientists and engineers unfortunately this process can take several years to develop a single drug due to the  we aim to see if deep convolutional neural networks dcnns can be used to learn morphologically distinguish a biological phenomenon called condensates  condensates are liquidlike compartments of molecules for key biochemical processes they play a screens hts labels related to condensates are rare fortunately condensates are uniquely a weakly supervised manner on these signals to develop weakly supervised embeddings wse  we conduct our experiments on the human protein atlas hpa an opensourced dataset that contains signals weakly related to condensates we show that a model can distinguish phenotypically different condensates whilst also separating images that are phenotypically dissimilar finally models that can recognize condensate embeddings well also scored generally higher in our quantitative metrics in our next steps we aim to evaluate on additional datasets and employ modern machine learning techniques to the scarce label problem such as selfsupervised learningdewpoint therapeuticslalit lalxcxtienne dumoulin grant watson kshiti,Alan Moses
de5b92e6-5079-4074-8335-0e310adee4ea,weakself supervised learning for drug discovery,weakly supervised learning is a relatively new technique used in drug discovery high content  tasks hence xefxacxweak supervisionxefxacx helping to discover novel mechanisms of action and localizations patterns within cells etc while these characteristics are not presented to the model during training they are extremely important for understanding the core biology and function of a drug and greatly accelerate the drug discovery process in our study we used several variations of selfsupervised models which leverage the contrastive learning framework to learn appropriate representations from  the proposed work is evaluated on the annotated bbbc dataset which is a publicly available treated with chemical compounds of known activities we observed that without using any labels or postprocessing the selfsuper vised model achieved similar performance as the weakly supervised modeldewpoint therapeuticszhihuan yuxcxtienne dumoulin kshitij gupta grant wa,Igor Jurisica
519991fb-4d8b-4dab-971f-1d55e1c3c0ee,assessing driving risk with enhanced telematics data,insurance understanding and assessing driving behavior and driversxexxa risks are drawing more and more attention most telematicsbased evaluation metrics reduce millions of rows of data into a few scalar features losing useful information in the process in this project we adopt the xefxacxspeedintroducing a similar speedacceleration heatmap for sideways acceleration and a contextualsmall percentage of whom had incurred damages to the car we show that compared to models with the usual scalar features the introduced heatmaps allow models to achieve higher prediction maneuvers are riskier than others the outputs of the model can also be used to produce xefxacxdriver safety scoresxefxacx with very reasonable distribution finally we look forward to improving this work in the future by utilizing more data and more sophisticated model structures such as selfattention modules  reference wxcxbcthrich mario  covariate selection from telematics car driving data european actuarial journal  szgeotabjiawei yuwillem petersenandrei ba,"Andrei Badescu, Sheldon Lin"
b404dbb7-1541-49c5-9bd2-abe46c41a6ef,collision detection with highrate telematics data,road safety affects all drivers passengers and pedestrians not just geotab customers telematics data is typically heavily compressed however geotab has a data capture logic that can capture events the objective is to use this to detect vehicular collisions the methodology behind this project consisted of  major stages first a complete background research on telematics data and collision detection was completed this includes learning from domain experts what the telematics data for potential collisions may appear as next features were extracted from the raw telematics was calculated by using hundreds of handlabeled and known collisionsnear misses the best performing machine learning model was a deep autoencoder with kmeans clustering on the encoded space clear separation between types of events were formed from the encoding with higher sampling frequency on the telematics data it is easier to accurately classify both collisions and near misses this is evident in the ability to capture low g events in terms of next steps more labels would be necessary to have promising models using supervised learning on timeseries data which may have potential to outperform the deep autoencodergeotabjack elliswillem petersenandrei ba,"Andrei Badescu, Sheldon Lin"
c59a98a9-3684-4c6d-bc9d-0423ca334d94,evaluation of ifit as an oam tool,operations administration and maintenance oam methods are necessar y for internet service performance measurement protocols developed by huawei to monitor network quality unlike traditional performance measurement tools such as ping test that make indirect measurements by sending extra packets ifit uses a new type of performance measurement mechanism it tracks the to make measurements with higher precision and smaller granularity  studied in this project we built a small test environment to evaluate ifit and compared it with other commonly used measurement protocols in measurement precisions and impacts on network throughput current results show ifit can reach a constant  deviation from the true value when measuring frame loss but it causes almost  of throughput degradation while other protocols nearly have no effect these results show directions for future improvement of ifithuawei technologies chinatianyu wangf,Baochun Li
660acfe3-c709-4cab-9abc-acb7ca79136a,online learning and teaching math editor,creating effective tools to enhance learning online has been a goal many are attempting to enhance hypatia system is one of those company xexxas whose mission is to create an innovative platform that enhances the online learning experience for students and for instructors hypatia learn is a tool for teachers to design problems for students and for students to work through the problem with the ability to check their work along the way during the covid pandemic academic institutions have had to quickly move to online instruction delivery to comply with public health guidelines as a result the learning experience has dramatically changed increasing the need for effective tools for online learning the goal of our project is to extend a powerful math editor that allows teachers to design elaboratecomplexrich mathematical problems to expand the capabilities of the system to allow teachers to create problems in calculus furthermore we expand the software to support the correctness checking and student feedback for various calculus computation and provide hints to students when they make mistakes  in order to expand parsing we make use of data structures such as abstract syntax trees and design a context free grammar and use an opensource framework which can perform various mathematical computation that is used to perform mathematical validation our approach enables the creation of a rich set of calculus problems such as related rates problems and implicit differentiation we also enhanced the errorhint reporting system to provide students with warning on their computations for example we provide warning when students use variables that are not instantiated or unnecessary for solving the problem this feedback motivates students to write clean and precise solutions to problems  for future work we look to investigate how to provide students with insight on how to solve problems by providing hints on next steps they can take to obtain the solutionthis would better mimic how a teacher would approach helping a student in class one way to approach this is to examine the correct solutions and identify where the studentxexxas solution deviated from the correct hypatia systemsram gurramladislav stacho jan manu,Fanny Chevalier
df5ba66e-7c0e-4a3d-84a1-b574eaba475a,designing a multimodal prediction model through voice data mining for retail banking,a large majority of organization cutting across industries and domains rely heavily on customer care agents to help them pitch their products to the customers and drive sales at icici bank these agents are referred to as virtual relationship managers vrms currently every vrm is scored based on various quantitative metrics like number of calls every day number of tickets generated etc the primary objective of this project is to develop a machine learning model which incorporates voice call transcripts and the associated key performance indicator kpi metadata to evaluate the performance of the vrms some of the kpis are xcx a the conversational pace b sentiment tagging and c greetings at the beginningend of the call this model trains over the freeform call transcripts and the categorical and numerical kpi metadata and gives a binary rating to the vrms by  percentage points in predicting the performance of the vrm we intend to keep adding onto the kpi metadata to further improve the prediction model and also increase the number of prediction classes in the futureicici banksaarthak sangamnerkarsandipan,Mark Chignell
11c2c129-81d8-48e6-9a8f-1684aed2ada8,dampingbot learning to stabilize objects inhand during highspeed manipulation,in kindred nonrigid items such as clothing apparels are being handled frequently by the robotic arms the problem of dangling can happen when they are being manipulated at high speed this can tremendously affect any downstream task like scanning and placement in this work we present a reinforcement learning approach to learn an active damping policy the policy controls a relatively slow robotic arm to stabilize a rapidly moving and underactuated object with a target position training is carried out in a simulation that is domain randomized with multiple parallel simulator we are able to train a policy network using thousands of concurrent environments in one consumerlevel gpu within an hour we demonstrate that the policy can be transferred to reality intervention currently we are planning to replace the pendulum with a polybag in a gripper so that we can design some downstream tasks closer to practical use cases such as placement we will then measure the success rate in those tasks to evaluate the performance of the algorithmkindred aiyip sang leungbr yan,Animesh Garg
2bb95c92-fb2b-433e-a41c-a0a610a31713,machine learning techniques to optimize the performance of an automated robotic arm,the main theme of this project is improving a system that controls a robotic arm working in an automated warehouse primarily trying to resolve some common failure modes like double picks previous approaches to this problem involved expensive and errorprone handlabeling leading to unsatisfying performance of the supervised methods we have shown that a weakly supervised training method for a double pick detector is a viable alternative that doesnxexxat require any labeled the realworld tests to be carried out also we worked on an average reward reinforcement learning approach that would improve the coordination of various systems involved in the operation of the robotic arm which is under developmentkindred aiborys bryndakjan,Animesh Garg
ee8ea035-a41d-4260-bac8-2b8e22621aba,multiobject tracking in production environments,today the problem of tracking multiple objects is typically solved using deep networks that require framebyframe annotations during the training step this project explores an approach to perform multiobject tracking applied to robotic picking in cases where realworld framebyframe annotations are unavailable  instead of training a deep tracker tracking is done by the paradigm of trackingbydetection trackingbydetection is performed by having a pretrained object detector predict objects at each frame and the detections are matched with detections in the subsequent frame to perform matching similarity measures between detections are obtained from object characteristics in this project an instance segmentation network was used instead of an object detector as instance segmentation provides a mask for each object detected objects can be matched based not only on the characteristics of their bounding boxes but also on the characteristics of their masks  although this tracker cannot be directly evaluated using standard tracking metrics as framebyframe annotations are unavailable evaluations of downstream applications of this tracker can be kindred aiwilliam ngolavi shpigelm,Florian Shkurti
a873a1cf-d2f7-4d64-b8bd-bc39cc58bb3c,exploring visualization and analysis methods of manufacturing data,the kraft heinz company generates massive volumes of rich and complex data through the process of manufacturing food products it usually takes the management team a great amount of time to collect and analyze these data in order to improve their management this project aims to design a visualization dashboard which conveys key information to the management team helping them to compare the manufacturing cost at different times and analyze the sources of cost increase we xxexxthe factors associated with total cost increase informed by user requirements that we gathered from members of the management team we designed an initial static dashboard that contains all the necessary tables and charts to support their analytical needs through informal regular we integrated usersxexxa feedback in a revised interactive and dynamic dashboard design that includes additional features that better support usersxexxa analytical needs the user experience has also improved according to usersxexxa feedback as an immediate next step we plan to conduct a formal evaluation of our prototype through a controlled experiment or deployment study possible future directions to expand our work include supporting prediction by machine learning using additional data to enrich the analysis or leveraging computation to recommend strategies automaticallykraft heinzpeifeng zhuhumberto consolo holan,Fanny Chevalier
66bafe4c-bfdf-4d31-90aa-9e2368505dcb,bag of little bootstraps and its subsample construction,the bootstrap is a commonly used resampling method to compute quality measures such as machine learning models where the quality measure is often hard to compute in closed forms by randomly sampling with replacement and train ml models for each of the bootstrap samples then the predictions from these models estimate the sampling distribution of the prediction a major drawback of this method is that it is too timeconsuming to train multiple ml models for those resamples when the sample size grows large the bag of little bootstraps blb is a recently during resampling however the blb draws the subsets completely randomly and it often requires many resamples to converge to the ground truth boosted decision trees next we studied the scenario where one has access to a reliable metric that characterizes similarities and distinctions between datapoints we found out the number of distinct data points in the subsets of blb is proportional to the accuracy of blb to sample more distinct data points in the subset we use kmeans to group similar data points together in a cluster intervals acquired by our method achieve a  higher intersectionoverunion rate on binary taewoo kimkin kwan leung barum rho,Rahul G. Krishnan
e6abe4c1-237e-4989-a2d9-2a4fb6a3e34d,knowledge modulated multimodal sentiment analysis,our world is inherently multimodal and recent work has highlighted the importance of machine learning models leveraging multiple streams of information in making decisions multimodal sentiment analysis has been an active area of research that requires models to take advantage of the linguistic acoustic and visual signals available in an utterance however most current models do not consider any social commonsense knowledge which is crucial in how we perceive sentiment in a conversation to address that in this project we modulate modality representations with commonsense knowledge obtained from a generative social commonsense knowledge base we provide a novel way to modulate the linguistic acoustic and visual features corresponding to an utterance by scaling and shifting these representations we use the knowledge base to obtain knowledge latent representations for an utterance corresponding to different states of the speaker such as the intent and the reaction and use it to shift and scale the three modalities our experiments on popular multimodal sentiment analysis benchmark datasets show that our proposed method is on par and often surpasses the current stateoftheart modelssourav bhattacharjeefelipe p,Frank Rudzicz
9670f02b-fc6a-4ab3-b860-36eaa7d274c9,nonparametric reinforcement learning,method allows us to modify the number of options in a datadriven manner by using bayesian nonparametric methods with a gem prior and variational methods we demonstrate empirically that our valentin villecrozeharry braviner gabriel loa,Chris Maddison
0d4d8474-42bb-4edd-9406-468d5c31f2db,texttovideo crossmodal attention in retrieval,in textvideo retrieval the objective is to learn a crossmodal similarity function between a text and a video the purpose is to use similarity to rank videos given text queries or to rank texts given video queries however videos inherently express a much wider gamut of information than texts so a text generally cannot fully capture the entire contents of a video instead texts are most semantically similar to subsets of videos which means there are multiple equally valid texts that can plausibly match a particular videoto mimic this behaviour in retrieval a model should only examine the most similar video regions described in a text to extract the most relevant information yet most existing works aggregate video frames in time without directly considering text such as through meanpooling or selfattention as such we have designed a crossmodal attention model to learn to reason between a text and video frames we adapted a scaled dot product attention for a text to attend to its most similar frames and then we generated an aggregated video representation conditioned on those frames our method was built on top of a pretrained clip model designed to match texts and images following the success of recent works we evaluated our method on the benchmark retrieval datasets of msrvtt msvd and lsmdc and obtained stateoftheart results extract important visual cues according to text our next steps are to examine the robustness of our model to noisy and irrelevant frames through experimental analysis as par t of future work we plan on applying our method to other textvideo tasks such as visual question answeringnoel vouitsisguangw,Animesh Garg
fe082792-58d6-4c0c-89af-a1bdd6efe9a7,reducing popularity bias in recommender system,in online shopping recommender systems are algorithms that recommend relevant products to customers based on their purchase history many works of literature have pointed out that a recommender system tends to recommend popular products however an ideal system should not only consider popularity bias but also provide personalized recommendations to customers to provide better email recommendations at loblaws we aim to depopularize our recommendations and help customers discover new products  in this project we implemented a new recommender system called nceplrec noise contrastive estimationprojected linear recommendation the model has two components noise contrastive estimation and projected linear recommendation to deal with popularity bias noise contrastive estimation reweights the useritem interaction matrix and explicitly depopularize item embeddings to scale the recommender system to millions of users projected linear recommendation is implemented which provides a highly scalable closed form solution  we compared the quality of the top items recommended by nceplrec and the current model in production in terms of map mean average precision precision recall and ndcg normalized  ctr clickthrough rate and weekly gmv gross merchandise volume between the two models the ab testing showed a  increase in ctr and an increase in weekly gmv as a result nceplrec provides a better recommendation experience for customers to discover new products and handles the coldstart problem for products with little historical data in the next step wexexxall enhance nceplrec by incorporating side information of products and replenishment behavior of customersloblaw digitalruijian anrichard ,Scott Sanner
dadb48dc-c722-42a8-ac81-2537617fc2e9,application of deep learning algorithm for medical images based on lowdose computed tomography for lung cancer,lowdose computed tomography ldct screening of lung cancer has demonstrated  to  lung cancer mortality reduction hence there are many management protocols for these pulmonary nodules with indeterminate malignant potential from watchful waiting biopsy to surgical detect the pulmonary nodules on the ldct scans and conduct segmentations to facilitate the downstream analysis that includes patient factors for nodule detection we have the data marked by professional radiologists and propose a d nodule detector framework using d unet as the for the future we want to build a platform for radiologists to quickly apply the model in real use and apply new models to the tasklunenfeldtanenbaum research institute sinai healthchenyang lurayjean j,Babak Taati
42184870-2602-4a84-8954-6410a2d543b8,enterprise knowledge mining with multitask selfsupervised graph neural networks,graph neural networks gnns have demonstrated the ability to leverage the structural information in graph relational data for both selfsupervised and semisupervised learning access to this semantic information to produce representations for documents users and topics that occur in enterprise data these representations are trained in a multitask selfsupervised setting to capture generalpurpose information about each node for use in various downstream applications using a custom automatic evaluation setup this report shows that these representations yield higher related topic document and user retrieval metrics than a strong baseline averaging algorithm since representations can be leveraged for additional downstream tasksmicrosoft turinghao zhangjames vuckovi,Sushant Sachdeva
0fdf34d5-116e-4f06-a0b3-eab86a75e201,model compression for transformerbased nlg models,the recent success of largescale transformerbased language models has exacerbated the need for neural network model compression most proposed methods for nlp are not examined on natural language generation nlg models despite the structural similarity transformerbased nlg models tends to be more sensitive to compression than their variants for natural language understanding nlu due to the higher complexity of the task in this project we discover several challenges while applying quantization and pruning for quantization naxcxafve quantizationawaretraining introduce excessive noise to the model and prevent convergence for sparsity unstructured pruning suffers from huge storage overhead while structured pruning results in severely degraded performance we developed a oneshot compression procedure integrating variational quantization sparsity introducing the information of token frequency improves the quality of sparsity pattern we evaluated our method on an internal largescale nlg model in microsoft turing with a structure like gpt the proposed method greatly enhances the compressed performance by approximately  nearly lossless compared to the previous best baseline model with dynamic qat our ongoing works focus on automatizing the design of sparsity patternmicrosoft turingzhumu chenwilliam buchwalter eri,Eyal de Lara
232e2083-51d4-4696-8e90-9c064bd06685,productionready federated learning,federated learning fl is a new and rapidly developing area of private data analysis taking advantage of distributed optimization without any centralized data collection even though the current stateoftheart has already achieved some level of maturity it is still far from being universally applicable in the production setting the major causes of that are high unpredictability have limited ways to ensure highquality result and robustness against outlying possibly malicious model updates  allowing data scientists to experiment with the federated environment and the training process by varying the number of available participants their behaviour and the heterogeneity of their local data the framework can assess the tradeoffs of introducing privacypreserving techniques such as differential privacy and secure multiparty computation as well making use of our framework and the microsoft news dataset mind we have explored the feasibility of training an ar ticle productionready prototype and integrated it into one of the companyxexxas products  we believe data poisoning prevention to be the next step in increasing applicability of fl we are interested in preventing model performance degradation resulting from usersxexxa malicious activity using computational techniques and incentivizationmicrosoft turinggrigory dorodnovjustin harris,Aleksandar Nikolov
d1c27bca-218a-4ea5-9be8-3e24b916fa19,simultuning simultaneous finetuning for contradiction dialogue generation,in recent years we have seen tremendous progress in opendomain dialogue systems through the use of large pretrained transformers however stateoftheart natural language generation nlg models used for dialogue systems still struggle to remain logically consistent on the other hand natural language understanding nlu models fare quite well at identifying contradiction indicating whether the modelxexxas response should contradict the context in this way the model can leverage its understanding of contradiction at the time of generation to reduce the occurrence of contradictory responses we demonstrate that simultuning is an effective approach for both nlu and nlg as we achieve stateoftheart results on the dialogue contradiction detection task decode while maintaining the ability to generate high quality responses we also demonstrate that this method can be used to prompt models to generate responses in a cer tain style as we were able to generate contradictory responses with up to  accuracy judged by humans work is ongoing to determine whether this method can successfully reduce the occurrence of contradiction at the time of generationmicrosoft turingkyle oppenheimeradam atki,Frank Rudzicz
a1c43589-f65b-4155-99b4-b1a983099256,design choices for fast and accurate d face reconstruction,d face reconstruction from a single image is an illposed problem due to the depth ambiguity in the face shape state of the art methods reduce this ambiguity by using priors on the face geometry such as d morphable models dmms  lightweight regression models can be trained to predict the dmm parameters of a face from an image in real time however they require data labelled with facial landmarks or dmm parameters for training which is not easily available nor reliably accurate  other models encode the image to the latent space of face and image features then reconstruct the input image using differentiable renderers and minimize a formulation of photometric loss on the reconstructed image these models can be trained with more unlabelled data and achieve better reconstruction accuracy but they canxexxat provide realtime inference we aim to train a lightweight model using these selfsupervision methods while also providing realtime inference  we have observed that state of the art accuracy is achievable with the regression models next we will compare the accuracy and speed of photo reconstruction models to these results also we will study the effect of training with synthetic data on the performance of these modelsmodifacesaad saleembrendan d,Sven Dickinson
